precinct,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP
BARROW08 FIRST BAPTIST CHURCH WINDER,328,79,1444
BROOKSBARWICK,52,2,173
BROOKSBRIGGS,234,22,1003
BROOKSNANKIN,58,8,389
BROOKSPAVO,85,5,249
BRYANPUBLIC SAFETY,392,58,737
BRYANRH RECREATION,512,74,871
CHARLTONFOLKSTON FIRE,48,10,411
CHATHAM1-05 J E A BUILDING,735,89,559
CHATHAM1-06 CENTRAL CHURCH OF CHRIST,563,53,793
CHATHAM1-08 GRACE UNITED METHODIST CHURCH,437,38,599
CHATHAM1-09 IMMANUEL BAPTIST CHURCH,217,10,160
CHATHAM1-10 ST. THOMAS EPISCOPAL CHURCH,199,27,568
CHATHAM1-12 ISLE OF HOPE BAPTIST CENTER,417,54,978
CHATHAM1-14 ST. LUKE UNITED METHODIST CHURCH,391,32,734
CHATHAM1-16 FERGUSON AVE BAPTIST CHURCH,448,59,1329
CHATHAM2-02 BLACKSHEAR COMMUNITY CENTER,634,25,149
CHATHAM2-04 FELLOWSHIP OF LOVE COMMUNITY CHURCH,1537,31,64
CHATHAM2-05 HOLY SPIRIT LUTHERAN CHURCH,953,35,108
CHATHAM2-06 ELI WHITNEY COMPLEX,245,10,37
CHATHAM2-07 CHRIST COMMUNITY CHURCH AT MORNINGSIDE,1278,52,197
CHATHAM2-09 SALVATION ARMY,1553,55,202
CHATHAM2-11 STILLWELL TOWERS,768,29,153
CHATHAM2-12 WILLIAMS COURT,657,40,96
CHATHAM3-03 SAVANNAH HIGH SCHOOL,472,7,58
CHATHAM3-04 1ST AFRICAN BAPTIST CHURCH,772,8,44
CHATHAM3-05 ALDERSGATE YOUTH CENTER,733,48,257
CHATHAM3-09 COKESBURY METHODIST CHURCH,171,12,273
CHATHAM3-11 SOUTHSIDE BAPTIST CHURCH,609,19,152
CHATHAM3-12 THUNDERBOLT MUNICIPAL COMPLEX,552,41,449
CHATHAM3-13 NEW COVENANT SEVENTH DAY ADVENTIST CHURCH,1289,35,455
CHATHAM3-14 OGLETHORPE CHARTER ACADEMY,1063,34,277
CHATHAM4-02 FRANK MURRAY COMMUNITY CENTER,485,57,871
CHATHAM4-04 LIGHTHOUSE BAPTIST CHURCH,423,54,1076
CHATHAM4-05 SAINT FRANCIS EPISCOPAL,437,65,1052
CHATHAM4-06 FIRST BAPTIST CHURCH OF ISLAND,383,60,1023
CHATHAM4-07 WILMINGTON ISLAND METHODIST CHURCH,629,88,1396
CHATHAM4-08 WILMINGTON ISLAND PRESBYTERIAN CHURCH,473,60,1326
CHATHAM4-10 GUARD HOUSE COMMUNITY CENTER,362,32,653
CHATHAM4-11 TYBEE SCHOOL CAFETERIA,446,26,692
CHATHAM4-12 ST. PETERS EPISCOPAL CHURCH,519,45,1213
CHATHAM4-13 SKIDAWAY ISLAND PRESBYTERIAN CHURCH,524,36,1301
CHATHAM5-01 BARTLETT MIDDLE SCHOOL,396,10,133
CHATHAM5-02 SENIOR CITIZENS CENTER,360,8,34
CHATHAM5-03 BUTLER PRESBYTERIAN ED. BUILDING,517,8,11
CHATHAM5-05 LIBERTY CITY COMMUNITY CENTER,1444,14,22
CHATHAM5-06 SEED CHURCH,1010,27,165
CHATHAM5-08 SAVANNAH PRIMITIVE BAPTIST CHURCH,662,32,303
CHATHAM5-10 JONESVILLE BAPTIST CHURCH,1744,17,65
CHATHAM5-11 LARGO TIBET SCHOOL,1107,34,347
CHATHAM6-01 WHITE BLUFF PRESBYTERIAN CHURCH,586,57,375
CHATHAM6-02 WINDSOR FOREST BAPTIST SCHOOL,669,46,914
CHATHAM6-03 CRUSADER COMMUNITY CENTER,871,54,647
CHATHAM6-05 WINDSOR ELEM./ GOLDEN AGE,617,38,387
CHATHAM6-09 TRINITY LUTHERAN CHURCH,1187,94,935
CHATHAM6-10 GEORGETOWN ELEMENTARY,1202,82,1193
CHATHAM6-11 COASTAL GEORGIA BOTANICAL GARDENS,1342,88,779
CHATHAM7-01 GARDEN CITY SENIOR CENTER,318,12,460
CHATHAM7-03 PRESTON B. EDWARDS GYMNASIUM,208,28,521
CHATHAM7-04 LAKESHORE COMMUNITY CENTER,1439,62,700
CHATHAM7-05 WOODLAWN BAPTIST CHURCH,330,21,273
CHATHAM7-07 ROTHWELL BAPTIST CHURCH,1268,105,2022
CHATHAM7-08 BLOOMINGDALE COMMUNITY CENTER,226,51,1107
CHATHAM7-09 SAVANNAH HOLY CHURCH OF GOD,616,52,625
CHATHAM7-10 PROGRESSIVE RECREATION,1075,90,728
CHATHAM7-11 SAVANNAH FIRST SEVENTH DAY ADVENTIST CHURCH,1069,109,858
CHATHAM7-12 POOLER CHURCH,1518,89,1635
CHATHAM7-13 SOUTHSIDE FIRE TRAINING CENTER,547,46,1123
CHATHAM7-14 COASTAL CATHEDRAL CHURCH OF GOD,2351,114,1278
CHATHAM8-02 HELLENIC CENTER,728,36,143
CHATHAM8-03 SILK HOPE BAPTIST CHURCH,134,7,275
CHATHAM8-05 W BROAD YMCA,642,8,17
CHATHAM8-06 MARY FLOURNOY GOLDEN AGE CENTER,456,7,8
CHATHAM8-07 WOODVILLE TOMPKINS TECHNICAL INSTITUTE,312,6,12
CHATHAM8-08 RESURRECTION OF OUR LORD CHURCH,841,7,15
CHATHAM8-09 MOSES JACKSON CENTER,701,15,11
CHATHAM8-10 CARVER HEIGHTS COMMUNITY CENTER,989,7,10
CHATHAM8-11 BUTLER SCHOOL,929,10,6
CHATHAM8-13 SAVANNAH CHRISTIAN SCHOOL,131,16,258
CHATHAM8-15 GARDEN CITY RECREATION CENTER,693,5,66
CRAWFORD1B - CITY,13,2,7
CRAWFORD1B - COUNTY,376,8,218
CRAWFORD2 - CITY,100,3,61
CRAWFORD2 - COUNTY,407,21,487
CRAWFORD3 - CITY,25,10,64
CRAWFORD3 - COUNTY,129,21,811
DOUGHERTYNAN,23311,475,10232
FULTONJC18,791,100,1100
FULTONSC13,1479,13,85
FULTONSC15,3905,64,168
GWINNETTBAYCREEK A,755,62,1011
GWINNETTBAYCREEK B,2069,72,1189
GWINNETTBAYCREEK C,2116,104,1562
GWINNETTBAYCREEK D,1262,80,1547
GWINNETTBAYCREEK E,871,57,898
GWINNETTBAYCREEK F,1574,65,989
GWINNETTBAYCREEK G,1634,86,1319
GWINNETTBAYCREEK H,1296,107,2090
GWINNETTBAYCREEK I,1797,97,1343
GWINNETTBAYCREEK J,1578,72,955
GWINNETTBAYCREEK K,1111,54,1158
GWINNETTBERKSHIRE A,839,52,383
GWINNETTBERKSHIRE B,2100,102,709
GWINNETTBERKSHIRE D,837,81,930
GWINNETTBERKSHIRE E,598,60,716
GWINNETTBERKSHIRE F,628,39,410
GWINNETTBERKSHIRE G,695,72,794
GWINNETTBERKSHIRE H,587,38,325
GWINNETTBERKSHIRE J,802,95,1030
GWINNETTBERKSHIRE L,1174,59,397
GWINNETTBERKSHIRE M,461,50,605
GWINNETTBERKSHIRE N,836,69,1202
GWINNETTBERKSHIRE O,663,64,986
GWINNETTBERKSHIRE P,416,19,285
GWINNETTBERKSHIRE Q,468,56,587
GWINNETTCATES A,520,55,934
GWINNETTCATES B,371,78,679
GWINNETTCATES C,964,37,678
GWINNETTCATES D,740,53,915
GWINNETTCATES E,869,80,1010
GWINNETTCATES F,403,59,789
GWINNETTCATES G,644,75,1217
GWINNETTCATES H,1307,54,683
GWINNETTCATES I,1107,89,1111
GWINNETTCATES J,1109,97,910
GWINNETTCATES K,627,102,932
GWINNETTCATES L,1344,74,1076
GWINNETTCATES M,1022,145,1581
GWINNETTCATES N,506,57,1196
GWINNETTCATES O,382,30,488
GWINNETTDACULA,1368,109,1303
GWINNETTDULUTH A,1469,138,1309
GWINNETTDULUTH B,867,81,1018
GWINNETTDULUTH C,691,93,625
GWINNETTDULUTH D,1393,121,876
GWINNETTDULUTH E,1665,101,782
GWINNETTDULUTH F,1867,78,581
GWINNETTDULUTH G,761,66,971
GWINNETTDULUTH H,784,58,779
GWINNETTDULUTH I,1216,59,1508
GWINNETTDULUTH K,880,36,248
GWINNETTDUNCANS A,814,108,2109
GWINNETTDUNCANS B,769,108,2119
GWINNETTDUNCANS C,497,78,1509
GWINNETTDUNCANS D,1028,152,2675
GWINNETTGARNERS A,889,121,1325
GWINNETTGARNERS B,1219,55,713
GWINNETTGARNERS C,604,60,552
GWINNETTGARNERS D,1337,45,534
GWINNETTGARNERS F,467,49,523
GWINNETTGOODWINS A,1215,99,940
GWINNETTGOODWINS B,933,120,1419
GWINNETTGOODWINS C,1765,106,1034
GWINNETTGOODWINS D,1165,147,1165
GWINNETTGOODWINS E,1479,148,1506
GWINNETTGOODWINS F,908,102,843
GWINNETTGOODWINS G,936,47,433
GWINNETTGOODWINS H,816,88,794
GWINNETTGOODWINS I,731,78,895
GWINNETTHARBINS A,1470,156,2026
GWINNETTHARBINS B,897,106,1683
GWINNETTHARBINS C,468,58,1076
GWINNETTHOG MOUNTAIN A,1351,119,1177
GWINNETTHOG MOUNTAIN B,1097,107,1767
GWINNETTHOG MOUNTAIN C,910,109,1372
GWINNETTHOG MOUNTAIN D,706,98,1107
GWINNETTLAWRENCEVILLE A,1052,70,891
GWINNETTLAWRENCEVILLE B,1754,71,926
GWINNETTLAWRENCEVILLE C,624,107,1064
GWINNETTLAWRENCEVILLE D,1753,69,548
GWINNETTLAWRENCEVILLE E,633,58,821
GWINNETTLAWRENCEVILLE F,1635,73,607
GWINNETTLAWRENCEVILLE G,1162,52,429
GWINNETTLAWRENCEVILLE H,1072,118,1423
GWINNETTLAWRENCEVILLE I,1077,91,722
GWINNETTLAWRENCEVILLE J,728,60,401
GWINNETTLAWRENCEVILLE K,883,84,1052
GWINNETTLAWRENCEVILLE L,1601,105,1189
GWINNETTLAWRENCEVILLE M,2380,93,698
GWINNETTLAWRENCEVILLE N,652,67,563
GWINNETTMARTINS A,1237,58,364
GWINNETTMARTINS B,1087,50,564
GWINNETTMARTINS C,818,55,611
GWINNETTMARTINS D,803,26,163
GWINNETTMARTINS E,2197,66,294
GWINNETTMARTINS F,917,45,308
GWINNETTMARTINS G,863,57,339
GWINNETTMARTINS H,1594,67,821
GWINNETTMARTINS I,1380,43,439
GWINNETTMARTINS J,1533,75,392
GWINNETTMARTINS K,2107,82,614
GWINNETTPINCKNEYVILLE A,992,58,239
GWINNETTPINCKNEYVILLE A1,719,93,1160
GWINNETTPINCKNEYVILLE B,1125,67,365
GWINNETTPINCKNEYVILLE C,623,51,613
GWINNETTPINCKNEYVILLE D,729,39,190
GWINNETTPINCKNEYVILLE E,770,46,200
GWINNETTPINCKNEYVILLE F,698,28,295
GWINNETTPINCKNEYVILLE H,1342,114,1165
GWINNETTPINCKNEYVILLE I,988,37,310
GWINNETTPINCKNEYVILLE J,975,30,172
GWINNETTPINCKNEYVILLE K,1327,59,350
GWINNETTPINCKNEYVILLE L,622,107,1040
GWINNETTPINCKNEYVILLE M,650,75,1124
GWINNETTPINCKNEYVILLE N,1412,72,318
GWINNETTPINCKNEYVILLE O,1340,59,350
GWINNETTPINCKNEYVILLE P,673,61,592
GWINNETTPINCKNEYVILLE Q,762,30,128
GWINNETTPINCKNEYVILLE S,1007,72,586
GWINNETTPINCKNEYVILLE T,920,75,652
GWINNETTPINCKNEYVILLE U,711,68,462
GWINNETTPINCKNEYVILLE V,548,36,295
GWINNETTPINCKNEYVILLE W,1250,97,859
GWINNETTPINCKNEYVILLE X,1029,119,1016
GWINNETTPINCKNEYVILLE Y,1221,40,289
GWINNETTPINCKNEYVILLE Z,481,76,861
GWINNETTPUCKETTS A,881,108,2146
GWINNETTPUCKETTS B,581,57,1282
GWINNETTPUCKETTS C,619,85,1183
GWINNETTPUCKETTS D,616,86,1372
GWINNETTPUCKETTS E,1333,92,1522
GWINNETTROCKBRIDGE A,1705,61,539
GWINNETTROCKBRIDGE B,1631,64,620
GWINNETTROCKBRIDGE C,2307,77,647
GWINNETTROCKBRIDGE D,1570,51,653
GWINNETTROCKBRIDGE E,1774,70,573
GWINNETTROCKBRIDGE F,2650,69,713
GWINNETTROCKBRIDGE G,2433,76,678
GWINNETTROCKYCREEK A,1302,128,1934
GWINNETTROCKYCREEK B,1148,148,1802
GWINNETTROCKYCREEK C,1233,118,1782
GWINNETTSUGAR HILL A,803,85,1247
GWINNETTSUGAR HILL B,1048,144,1653
GWINNETTSUGAR HILL C,986,133,1914
GWINNETTSUGAR HILL D,838,92,1412
GWINNETTSUGAR HILL E,671,101,1099
GWINNETTSUGAR HILL F,873,132,1381
GWINNETTSUGAR HILL G,610,96,1136
GWINNETTSUWANEE A,437,46,468
GWINNETTSUWANEE B,1078,134,1350
GWINNETTSUWANEE C,1218,116,1509
GWINNETTSUWANEE D,948,126,1894
GWINNETTSUWANEE E,934,117,1601
GWINNETTSUWANEE F,1056,123,1172
GWINNETTSUWANEE G,985,109,1104
GWINNETTSUWANEE H,724,86,1633
HALL27-BIG HICKORY,257,72,2158
HANCOCKCOURTHOUSE,461,2,102
HANCOCKDEVEREUX FIRE STATION,292,7,273
HANCOCKMAYFIELD COMM CENTER,176,0,32
HANCOCKPOWER OF GOD,375,4,54
HANCOCKSECOND BEULAH,270,3,32
HANCOCKSECOND DARRIEN,177,4,85
HANCOCKST. MARK,321,9,47
HANCOCKWARREN CHAPEL,77,4,89
HANCOCKYOUTH CENTER,472,1,104
LOWNDESDASHER,350,54,2020
LOWNDESHAHIRA,577,66,2431
LOWNDESMILDRED,1631,17,232
LOWNDESNAYLOR-001,133,15,324
LOWNDESNAYLOR-008,98,5,164
LOWNDESNORTHSIDE,7147,343,6179
LOWNDESRAINWATER,1605,149,3590
LOWNDESS LOWNDES,437,38,1682
LOWNDESTRINITY-001,405,31,564
LOWNDESTRINITY-008,2020,166,2780
RANDOLPHFOUNTAIN BRIDGE-4TH,12,0,70
SCREVENCOOPERVILLE FIRE STATION,108,2,43
SPALDINGEAGES LANDING BAPTIST,931,56,1720
SPALDINGSENIOR CENTER,192,39,740
SPALDINGUGA CAMPUS,975,56,831
SUMTERANDERSONV,71,2,218
TELFAIRLUMBER-CITY,283,1,348
