precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HEWES,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_COOK,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
APACHEALPINE,15,0,0,2,20,1,0,0,0,0,0,0,37,0,0,0,13,0,0,2,0,55,60,2,13,216,38,291
APACHECANYON,351,3,4,4,143,9,0,0,2,3,3,1,22,0,1,0,0,0,3,5,0,13,1387,32,72,143,514,1634
APACHECHINLE,178,0,0,5,79,1,0,0,4,1,0,0,12,0,0,0,7,0,0,2,1,13,678,17,38,93,263,826
APACHECONCHO,42,3,1,2,73,1,0,4,0,4,0,0,157,1,0,0,16,0,0,8,0,285,228,11,44,1135,122,1418
APACHECORNFIELDS,129,0,2,2,53,4,0,0,0,1,0,0,5,0,0,1,2,0,0,1,1,1,349,3,16,33,190,401
APACHECOTTONWOOD,202,0,1,1,52,8,0,0,2,0,3,0,6,1,0,0,0,0,0,0,1,4,589,11,26,47,264,673
APACHEDENNEHOTSO,135,1,3,3,29,1,0,0,6,2,3,1,10,1,1,1,2,0,1,0,1,5,430,9,16,40,172,495
APACHEEAGAR,49,3,10,7,78,4,0,0,5,13,0,0,272,1,0,0,48,0,3,24,0,211,141,7,22,762,151,932
APACHEGANADO,287,3,2,3,93,7,0,0,1,0,0,0,12,0,0,0,2,0,0,1,0,9,801,19,43,88,395,951
APACHEGREER,7,1,0,0,9,0,0,0,0,0,0,0,13,0,0,0,5,0,0,0,0,23,34,0,1,87,17,122
APACHEHOUCK,162,4,5,2,72,3,0,0,1,2,0,0,14,0,1,0,0,0,0,1,0,7,407,9,47,102,248,565
APACHEKINLICHEE,192,1,2,2,61,5,0,0,1,2,2,1,2,0,1,0,0,0,0,0,0,2,520,8,27,42,263,597
APACHEKLAGETOH,129,3,1,4,55,3,0,0,1,3,0,0,6,1,0,1,0,0,0,1,0,5,359,12,35,54,195,460
APACHELUKACHUKAI,175,1,2,5,40,1,0,0,1,0,0,0,5,0,2,0,1,0,0,2,0,2,710,14,44,47,224,815
APACHELUPTON,107,1,0,1,43,1,0,0,1,1,0,0,4,1,0,0,0,0,0,1,0,2,261,8,12,50,153,331
APACHEMANY,265,3,7,1,69,4,0,0,2,0,0,0,6,0,0,0,0,0,0,2,0,1,732,7,45,51,349,835
APACHEMCNARY,19,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3,4,11,23,84
APACHEMEXICAN,23,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,87,1,9,5,24,102
APACHENAZLINI,139,1,0,10,66,2,0,0,5,2,0,0,2,0,1,0,1,0,1,0,0,2,430,6,28,45,218,509
APACHENUTRIOSO,13,0,0,2,25,0,1,0,0,0,0,0,24,0,0,0,8,0,0,3,1,51,59,3,4,213,40,279
APACHEPUERCO,146,1,2,6,99,6,0,0,1,6,0,2,22,0,1,0,6,1,1,6,0,28,478,20,32,223,260,753
APACHERED,69,6,1,0,42,2,0,0,1,2,1,1,12,0,0,1,3,0,1,6,0,5,357,10,54,91,120,512
APACHEROCK,167,0,1,2,60,0,4,10,1,2,0,1,5,0,0,1,0,0,1,0,1,1,557,8,28,38,230,631
APACHEROUGH,93,1,2,0,39,3,0,0,1,1,1,0,4,0,1,0,0,0,0,0,0,1,381,1,12,25,138,419
APACHEROUND,135,1,1,3,27,2,0,0,2,0,2,0,2,0,0,0,0,0,1,0,1,1,66,5,14,470,169,555
APACHESAWMILL,114,0,0,1,52,6,0,0,2,2,0,0,3,1,0,0,0,0,0,4,0,3,337,16,28,39,173,420
APACHESPRINGERVILLE,63,8,5,8,73,5,0,0,3,8,0,0,135,0,0,1,17,0,1,11,2,176,145,5,28,521,162,699
APACHEST.,348,19,4,11,267,11,1,1,12,11,2,1,239,0,0,1,18,1,6,20,2,188,854,39,62,124,660,1079
APACHESTEAMBOAT,218,0,3,2,69,4,0,0,0,1,0,0,4,0,0,0,0,0,0,1,1,4,630,11,22,38,296,701
APACHESWEETWATER,70,0,0,2,37,4,0,0,1,2,1,1,10,0,1,0,1,0,0,0,0,3,228,7,36,61,113,332
APACHETACHEE,71,1,3,1,32,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,245,6,5,22,110,278
APACHETEEC,65,0,1,2,22,1,0,0,0,0,0,0,5,0,1,0,3,0,0,3,1,4,303,7,27,61,91,398
APACHEVERNON,58,2,0,2,50,0,0,0,2,7,0,0,135,1,0,1,21,1,0,9,0,227,175,16,30,838,112,1059
APACHEWHEATFIELDS,226,3,4,6,62,5,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,4,693,17,30,42,306,782
APACHEWIDE,121,1,1,1,34,4,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,3,335,5,19,37,162,396
COCHISE01 BE BENSON,105,2,3,1,84,2,0,0,5,20,0,0,92,0,1,3,24,1,1,22,0,172,304,24,48,630,197,1006
COCHISE02 BE J-SIX,102,0,1,2,81,2,0,0,1,13,0,0,192,0,0,0,20,0,0,31,1,240,320,20,59,992,188,1391
COCHISE03 BE SAN PEDRO,114,4,4,7,88,2,0,0,4,11,0,1,93,1,0,1,27,0,1,39,0,218,376,26,65,727,219,1194
COCHISE04 BI BISBEE,190,2,4,4,272,2,1,2,1,6,0,0,16,2,0,0,7,0,0,4,0,34,699,58,26,179,474,962
COCHISE05 BI DON LUIS,169,4,0,11,142,2,0,1,1,4,1,0,26,0,0,0,13,0,2,11,0,101,499,27,41,397,328,964
COCHISE06 BI WARREN,168,2,2,8,239,0,0,3,0,3,0,0,45,1,0,0,16,0,0,12,0,81,577,40,50,330,419,997
COCHISE07 BOWIE,19,1,2,0,26,0,0,0,0,1,0,0,20,0,1,0,0,0,0,1,0,33,81,7,7,126,48,221
COCHISE08 COCHISE STRONGHOLD,107,1,1,1,98,0,0,1,0,13,0,0,137,1,0,2,32,0,0,18,0,284,292,29,40,883,208,1244
COCHISE09 DO CALVARY,213,4,0,1,52,1,0,0,2,4,0,0,11,0,0,0,3,0,1,4,0,16,605,23,21,117,271,766
COCHISE10 DO CARLSON,290,4,0,6,91,3,0,0,6,8,1,0,32,0,0,0,6,0,0,29,0,30,795,20,34,272,394,1121
COCHISE11 DO CASTRO PARK,277,5,0,5,71,1,0,0,1,1,0,0,13,0,0,0,2,0,0,5,1,11,815,24,21,104,359,964
COCHISE12 DO GADSDEN,180,4,2,3,67,1,0,0,0,1,0,0,12,0,0,0,0,0,0,12,1,19,561,17,22,119,257,719
COCHISE13 DO SUNNYSIDE,164,1,3,4,62,1,0,0,0,3,0,0,23,0,0,0,11,0,0,6,0,47,553,27,22,201,235,803
COCHISE14 GREATER SAN PEDRO,86,3,0,1,72,3,0,1,2,8,0,0,156,0,1,2,15,1,1,23,1,221,241,28,81,869,165,1219
COCHISE15 HEREFORD,102,1,1,2,112,2,0,0,2,11,0,0,162,0,0,1,40,0,1,45,0,254,359,21,62,948,220,1390
COCHISE16 HUACHUCA,59,2,2,2,46,1,0,2,1,4,1,0,55,0,0,1,6,0,0,13,0,86,203,14,55,373,112,645
COCHISE17 MCNEAL,46,1,3,3,70,2,0,0,0,13,1,0,102,0,0,0,10,0,0,8,0,102,168,15,31,452,125,666
COCHISE18 NACO,86,0,0,1,48,0,0,0,0,0,0,0,8,0,0,0,1,0,0,6,0,19,253,11,15,92,135,371
COCHISE19 PALOMINAS,62,0,0,0,68,2,0,1,1,10,1,0,130,1,0,1,25,0,2,20,0,148,241,18,56,650,132,965
COCHISE20 PIRTLEVILLE,153,2,0,0,58,2,0,1,0,4,0,0,29,0,0,1,8,0,0,5,0,41,514,23,22,211,215,770
COCHISE21 POMERENE,55,0,0,4,79,2,0,1,3,4,0,0,85,0,0,0,9,0,2,23,1,134,216,15,31,528,140,790
COCHISE22 PORTAL,31,0,0,2,25,0,0,0,0,2,1,0,18,0,0,0,7,0,1,3,0,48,96,6,4,119,58,225
COCHISE23 SAN SIMON,12,0,1,0,12,0,0,0,1,3,0,0,16,0,0,0,1,0,0,4,0,23,27,3,2,134,25,166
COCHISE24 ST DAVID,87,4,1,0,76,1,0,0,5,25,0,0,235,1,0,1,25,0,0,37,0,270,290,16,72,1044,169,1422
COCHISE25 SUNIZONA,36,0,0,3,33,1,0,0,2,4,0,0,37,0,0,1,8,0,1,6,0,68,104,8,10,259,73,381
COCHISE26 SV AVENIDA DEL SOL,161,1,1,3,84,0,0,0,5,14,0,0,129,1,0,3,31,0,3,37,0,200,486,23,69,837,250,1415
COCHISE27 SV BUFFALO SOLDIER,154,0,0,2,111,2,0,0,3,12,0,0,207,1,1,2,87,0,2,49,0,283,646,32,120,1137,269,1935
COCHISE28 SV BUSBY,108,1,1,4,81,2,0,1,3,9,0,0,83,1,0,2,25,0,0,17,2,162,374,25,62,538,197,999
COCHISE29 SV CARMELITA,67,0,0,2,58,0,0,1,1,9,0,0,59,1,0,0,19,0,0,17,0,93,240,14,49,402,127,705
COCHISE30 SV CLOUD,37,0,0,0,42,2,0,0,0,5,0,0,47,0,0,0,7,0,1,7,0,62,189,9,33,295,81,526
COCHISE31 SV COLLEGE,87,2,0,3,68,1,0,0,3,13,0,1,103,1,0,2,34,0,0,47,1,159,370,23,75,693,161,1161
COCHISE32 SV COUNTRY CLUB,162,0,0,4,68,0,1,1,2,19,0,1,199,4,0,1,104,1,1,103,2,350,490,16,75,1194,234,1775
COCHISE33 SV ESTATES,95,2,1,3,92,3,0,0,1,9,2,1,100,1,2,1,16,0,2,30,1,208,378,21,54,734,196,1187
COCHISE34 SV HOPI,96,0,2,5,67,1,1,0,5,9,2,0,83,0,1,1,22,0,0,31,0,128,352,21,52,543,171,968
COCHISE35 SV MOSON,82,4,2,2,73,1,0,2,1,20,1,0,189,0,0,1,22,0,3,26,0,271,327,23,82,953,164,1385
COCHISE36 SV PUEBLO DEL SOL,92,3,0,4,56,1,0,0,3,10,0,0,85,1,0,1,29,0,1,32,2,133,292,20,55,536,156,903
COCHISE37 SV RAMSEY,77,1,0,1,65,4,0,0,0,8,0,0,150,1,0,3,29,0,3,31,2,193,294,16,42,727,148,1079
COCHISE38 SV SNYDER,84,0,0,1,54,2,0,0,3,10,0,0,75,1,1,2,26,1,2,28,0,122,281,17,55,403,141,756
COCHISE39 SV SOLDIER CREEK,113,4,0,3,115,3,0,0,2,17,1,0,99,1,1,3,18,1,1,29,0,160,496,35,109,723,238,1363
COCHISE40 SV TOWN & COUNTRY,116,2,0,2,69,0,0,0,1,16,2,0,150,1,0,1,51,0,3,45,0,221,398,13,70,889,189,1370
COCHISE41 SV VILLAGE MEADOWS,148,2,1,4,73,3,0,0,5,22,0,0,205,1,0,2,61,0,0,49,0,252,507,19,88,1028,231,1642
COCHISE42 SV VISTA VILLAGE,109,2,3,2,61,0,0,0,1,10,2,1,109,0,0,0,19,0,0,29,1,154,366,25,76,617,177,1084
COCHISE43 SV YAQUI,111,0,2,5,116,0,1,0,1,19,1,0,199,0,0,1,82,1,2,61,1,332,449,18,67,1174,234,1708
COCHISE44 TOMBSTONE,96,4,1,0,86,1,0,0,2,10,0,0,73,1,0,0,17,0,0,11,1,281,278,24,60,828,188,1190
COCHISE45 WEBB,33,1,0,1,28,0,0,1,3,5,0,1,40,0,1,1,5,0,1,7,1,79,116,9,16,306,63,447
COCHISE46 WHETSTONE,92,1,2,6,75,2,0,1,3,12,1,0,136,3,0,2,29,3,2,33,0,286,330,25,80,1087,178,1522
COCHISE47 WI KANSAS SETTLEMENT,86,4,2,4,67,2,0,0,0,4,0,0,117,0,0,1,16,0,1,26,0,189,248,13,39,663,165,963
COCHISE48 WI STEWART,58,4,1,6,46,0,0,0,1,7,0,0,110,1,0,1,10,0,1,16,0,188,177,14,35,623,115,849
COCHISE49 WI WILLCOX,59,1,7,7,44,1,0,0,0,2,0,0,68,0,0,0,8,0,1,18,0,102,177,18,34,406,119,635
GREENLEEBLUE,7,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,1,0,1,25,11,27
GREENLEECLIFTON 1,177,16,1,0,72,2,0,0,2,1,0,0,27,0,0,0,1,0,1,5,0,24,326,9,38,226,268,599
GREENLEECLIFTON 2,99,9,2,6,55,1,0,0,0,3,0,0,19,0,0,0,3,0,1,6,0,33,192,7,13,204,172,416
GREENLEEDUNCAN,62,7,1,13,70,3,0,0,3,9,0,1,73,0,0,0,5,0,0,15,0,75,135,11,47,488,156,681
GREENLEEEAGLE,6,0,0,1,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,8,2,0,1,13,15,16
GREENLEEEAST PLANTSITE,10,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,4,0,0,2,0,17,62,2,23,145,24,232
GREENLEEMORENCI,56,4,1,2,54,0,0,0,1,3,0,0,51,1,0,1,7,0,0,12,1,61,222,18,54,461,117,755
GREENLEEYORK/SHELDON,80,6,4,6,48,4,0,0,0,11,0,0,38,0,0,0,4,0,0,7,0,57,152,12,23,330,148,517
LA PAZ051 PARKER,138,5,1,2,146,3,0,2,3,12,0,0,99,1,0,0,31,0,1,20,0,242,702,43,85,951,295,1781
LA PAZ052 POSTON,27,1,0,0,28,0,0,0,0,1,0,0,12,0,0,0,0,0,0,3,0,10,126,3,12,61,56,202
LA PAZ054 UPRIVER,52,1,3,2,39,1,0,0,1,4,0,0,45,1,0,2,21,0,0,34,0,306,220,6,31,958,98,1215
LA PAZ055 BOUSE,23,0,2,0,11,0,0,0,0,2,0,0,24,1,0,1,5,0,0,4,0,94,53,3,9,280,36,345
LA PAZ056 WENDEN,10,0,1,0,2,0,0,0,0,2,0,0,13,0,0,0,2,0,0,2,0,10,23,0,4,85,13,112
LA PAZ057 SALOME,29,0,1,0,21,1,0,0,0,6,0,0,44,0,0,1,12,0,1,8,0,151,121,0,13,461,52,595
LA PAZ058 QUARTZSITE 2,43,2,0,2,38,1,0,0,3,14,0,0,39,2,0,2,9,0,2,9,0,163,149,10,32,551,86,742
LA PAZ059 CIBOLA,5,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,27,19,1,2,67,8,89
LA PAZ060 EHRENBERG,17,1,0,0,8,0,0,0,1,1,0,0,20,0,0,0,3,0,0,2,0,47,64,4,6,179,26,253
LA PAZ062 VICKSBURG,7,0,0,0,13,0,0,0,2,4,0,0,20,0,0,1,0,0,0,1,0,40,32,1,8,137,20,178
MOHAVE201-WIKIEUP,3,1,0,0,2,0,0,0,2,1,0,0,16,0,0,0,1,0,0,4,0,37,20,2,4,149,6,175
MOHAVE202-WHITE HILLS,6,0,0,1,7,0,0,0,0,0,0,0,6,0,0,0,4,0,0,2,0,28,32,3,9,137,14,181
MOHAVE203-YUCCA,16,0,2,0,24,0,0,0,1,1,0,0,28,0,0,0,2,0,0,6,1,112,72,8,10,332,42,422
MOHAVE204-CHLORIDE,17,2,0,0,26,1,0,1,1,2,0,0,37,0,0,0,3,0,1,10,0,83,74,3,9,332,46,418
MOHAVE205-NORTH CANYON,1,0,1,0,6,0,0,0,1,6,0,0,40,1,0,0,7,1,7,4,0,68,26,10,96,781,8,913
MOHAVE206-OATMAN,4,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,1,0,1,2,0,30,17,1,3,81,11,102
MOHAVE207-DESERT HILLS,64,0,1,3,43,1,0,0,1,8,0,0,60,2,0,0,22,0,0,21,0,355,265,6,25,1003,112,1299
MOHAVE208-MEADVIEW,53,1,2,0,45,0,0,1,0,3,0,0,44,0,0,1,5,0,0,5,0,156,153,2,5,479,101,639
MOHAVE209-DOLAN SPRINGS,52,0,0,2,55,3,0,0,0,3,0,0,36,0,0,1,4,0,1,8,0,115,178,7,32,503,112,720
MOHAVE210-GOLDEN VALLEY,221,8,3,7,172,5,0,0,7,10,0,0,278,0,0,6,37,0,6,62,0,899,821,39,114,3175,416,4149
MOHAVE211-BULLHEAD CITY,1040,12,6,27,563,22,0,0,18,47,6,0,783,5,2,10,190,2,3,243,0,2601,3675,125,384,9393,1670,13577
MOHAVE212-MOHAVE VALLEY,516,2,8,18,343,14,0,0,11,28,3,2,532,2,1,1,102,0,6,124,1,1526,1953,82,234,6002,901,8271
MOHAVE213-HACKBERRY,54,2,0,1,53,2,0,0,2,8,0,0,148,0,0,1,19,0,1,15,0,330,227,8,45,988,112,1268
MOHAVE214-TRUXTON,8,0,0,0,13,0,0,0,1,1,0,0,22,0,0,0,1,0,1,3,0,27,16,1,2,81,21,100
MOHAVE215-KINGMAN CENTRAL,216,7,6,9,185,5,0,0,4,19,2,1,310,2,2,1,59,0,0,56,0,517,830,54,187,2415,428,3486
MOHAVE216-KINGMAN NORTH,265,3,8,17,199,14,0,0,7,20,0,1,385,1,0,2,61,0,4,49,0,792,933,45,177,3127,506,4282
MOHAVE217-KINGMAN SOUTH,319,4,10,17,229,8,1,2,11,36,8,0,595,2,0,2,149,0,3,122,1,1153,1231,58,244,4022,587,5555
MOHAVE218-KINGMAN EAST,313,4,4,19,255,8,0,3,14,30,2,0,549,1,1,7,86,0,7,83,3,1145,1210,71,292,4545,603,6118
MOHAVE219-LAKE HAVASU N.,387,8,3,11,287,5,0,0,13,30,4,1,425,2,0,9,126,0,6,133,0,1788,1331,49,192,5375,701,6947
MOHAVE221-LITTLEFIELD,30,1,1,0,37,0,0,0,2,0,0,0,40,0,0,2,9,0,0,5,0,129,237,4,27,672,69,940
MOHAVE222-GOLDEN SHORES,72,1,4,5,36,1,0,1,2,3,0,0,52,0,0,0,12,0,1,7,1,179,197,12,7,618,119,834
MOHAVE223-MOCCASIN,2,1,0,0,1,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,28,1,4,35,5,68
MOHAVE224-PEACH SPRINGS,18,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,194,4,5,28,30,231
