precinct,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_MESSINA,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_con_COPELAND,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FUENTE,gen_ind_MCMULLIN,gen_ind_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
GEM05 WEST EMMETT,1,1,1,114,0,0,1,16,0,0,22,0,129,0,73,3,0,24,3,15,504,0,622
GEM06 EMERSON,0,5,0,124,1,0,1,11,0,1,32,0,113,4,70,0,0,21,5,19,424,0,543
GEM07 LINCOLN,1,1,2,131,0,0,0,13,0,1,25,0,87,2,67,3,1,19,4,16,405,0,517
GEM08 LETHA,1,0,0,108,0,0,0,8,0,3,21,0,95,2,50,1,3,32,5,20,444,0,557
GEM09 HANNA,1,4,1,156,0,0,1,14,0,1,32,0,108,6,50,2,2,30,4,18,390,0,502
GEM10 BRICK,1,3,3,110,0,0,0,10,0,2,27,0,74,0,45,2,2,27,4,11,314,0,405
GEM11 BENCH,0,1,0,117,0,0,0,7,0,0,37,1,100,2,51,6,0,32,6,13,337,0,447
GEM12 SWEET/MONTOUR,0,3,0,93,0,0,0,5,0,1,20,1,83,1,54,3,1,9,0,3,309,0,380
GEM13 OLA,0,0,0,27,0,0,0,4,0,0,6,0,35,1,13,0,0,2,2,2,64,0,84
GEMABSENTEE,1,15,0,112,0,0,1,33,0,3,57,0,160,5,487,6,3,100,11,61,1660,0,2333
GOODING2 GOODING CITY,7,10,0,133,0,0,1,33,0,1,49,0,114,8,156,6,2,38,8,22,524,0,764
GOODING3 GOODING RURAL,1,11,1,243,0,0,0,42,0,2,50,1,180,2,97,11,4,72,2,20,734,0,942
GOODING4 WENDELL CITY,0,0,1,115,0,0,0,9,0,1,32,0,68,4,141,2,6,35,2,13,475,0,678
GOODING5 WENDELL RURAL,2,6,0,140,0,0,0,14,0,0,30,0,91,3,83,3,1,31,4,16,483,0,624
GOODING6 BLISS,1,1,0,37,0,0,1,11,0,1,8,0,50,0,39,0,0,14,4,9,178,0,244
GOODING7 HAGERMAN,0,8,1,195,0,0,1,24,0,1,41,0,176,7,123,9,2,47,5,7,679,0,879
IDAHO001 BIG BUTTE,0,4,1,15,0,0,1,0,0,0,9,0,17,0,5,0,0,0,0,3,64,0,72
IDAHO002 CLEARWATER,3,1,0,58,0,0,2,4,0,1,13,0,62,2,17,2,0,5,1,3,177,0,207
IDAHO003 COTTONWOOD 1,0,5,0,81,0,0,1,11,1,1,13,0,37,0,38,3,0,5,0,8,218,0,272
IDAHO004 COTTONWOOD 2,0,5,0,36,0,0,0,7,0,1,15,0,39,4,45,0,1,2,1,6,209,0,268
IDAHO005 ELK CITY,1,2,1,19,0,0,0,6,0,1,2,0,30,0,9,1,1,4,0,2,94,0,111
IDAHO006 FENN,0,0,0,39,0,0,0,3,0,0,9,0,24,0,13,1,0,2,0,1,104,0,121
IDAHO007 FERDINAND,0,2,0,37,0,0,0,4,0,1,12,0,26,1,17,3,0,3,2,7,154,0,187
IDAHO008 GREENCREEK,1,3,0,35,0,0,1,1,0,0,10,0,21,1,22,0,1,0,0,6,114,0,144
IDAHO009 GLOVER,0,8,0,47,0,0,0,5,1,2,3,0,40,1,24,0,0,6,0,2,123,0,156
IDAHO010 GRANGEVILLE 1,5,6,0,66,0,0,0,15,0,0,14,0,58,1,29,2,0,11,4,13,245,0,305
IDAHO011 GRANGEVILLE 2,1,2,0,44,1,0,1,8,0,0,7,0,53,2,39,6,1,4,3,14,212,0,281
IDAHO012 GRANGEVILLE 3,3,8,2,71,1,0,0,11,0,1,24,0,51,3,34,4,0,6,1,13,214,0,275
IDAHO013 GRANGEVILLE 4,2,7,1,101,0,0,1,30,0,0,23,0,88,2,57,1,1,8,1,8,294,0,372
IDAHO014 GRANGEVILLE 5,3,15,1,146,0,1,1,40,0,1,30,1,109,3,58,0,0,17,7,18,350,0,453
IDAHO015 HARPSTER,1,5,0,35,0,0,2,3,0,0,4,0,43,3,17,1,0,3,6,1,132,0,163
IDAHO016 JOSEPH,0,0,0,2,0,0,3,0,0,0,0,0,2,1,2,0,0,0,1,2,7,0,13
IDAHO017 KAMIAH,2,7,0,124,0,0,0,28,0,6,20,0,171,2,101,7,1,9,4,16,492,0,632
IDAHO018 KEUTERVILLE,1,2,0,32,0,0,0,3,0,0,6,0,33,0,21,2,0,1,1,3,129,0,157
IDAHO019 KOOSKIA,3,16,0,162,1,0,2,25,0,6,26,0,207,7,91,3,1,14,5,16,594,0,731
IDAHO020 LOWELL,0,1,0,7,0,0,0,1,0,0,4,0,22,0,19,2,0,1,1,3,51,0,77
IDAHO021 POLLOCK,0,3,0,30,0,1,0,5,0,1,11,0,50,1,28,3,1,7,0,10,204,0,254
IDAHO022 RIGGINS,0,6,0,49,0,0,0,14,0,1,11,0,69,0,50,0,0,10,1,10,253,0,324
IDAHO023 SLATE CREEK I,1,0,0,13,0,0,2,2,0,0,7,0,27,0,3,0,2,2,0,3,67,0,77
IDAHO024 STITES,1,2,0,62,0,0,1,4,0,1,13,1,77,0,10,0,0,2,0,2,214,0,228
IDAHO025 WHITE BIRD,1,0,0,26,0,0,0,4,0,0,7,0,80,2,18,2,0,1,0,5,186,0,214
IDAHO026 WOODLAND,0,3,0,46,0,0,0,5,0,3,5,0,33,2,6,3,0,8,1,4,109,0,133
IDAHO027 SLATE CREEK II,0,4,0,11,0,0,0,7,0,0,1,0,19,1,16,0,1,0,1,1,57,0,77
IDAHO028 ABSENTEE,9,17,1,101,0,0,3,20,1,3,62,4,179,8,407,11,3,34,11,74,1374,0,1922
JEFFERSON1 ANNIS,1,1,0,112,0,0,0,3,0,0,26,0,20,1,12,4,0,35,8,3,168,0,231
JEFFERSON10 MONTEVIEW,0,1,1,64,0,0,0,4,0,0,11,0,14,3,14,2,2,6,0,1,151,0,179
JEFFERSON11 RIGBY 1,0,3,0,130,0,0,1,5,0,0,81,0,37,0,49,8,0,94,5,25,293,0,474
JEFFERSON12 RIGBY 2,0,1,0,76,0,0,0,7,0,1,30,0,35,1,37,5,1,49,2,6,207,0,308
JEFFERSON13 RIGBY 3,0,12,0,511,1,0,1,31,0,6,195,1,117,10,84,18,1,278,10,53,1224,0,1678
JEFFERSON14 RIGBY 4,0,11,1,264,1,1,1,9,0,0,110,0,60,2,61,9,0,142,6,14,493,0,727
JEFFERSON15 RIRIE,1,3,1,147,0,0,1,15,0,0,91,0,68,2,67,2,1,84,3,18,512,0,689
JEFFERSON16 ROBERTS,0,2,0,105,0,1,0,10,0,1,40,0,49,1,54,5,0,44,1,5,355,0,465
JEFFERSON17 TERRETON,0,5,1,135,1,0,0,11,0,2,55,1,37,1,38,2,0,35,0,5,333,0,414
JEFFERSON2 CLARK,2,4,0,246,0,0,0,12,0,2,94,0,62,1,47,8,2,87,4,15,608,0,772
JEFFERSON3 GARFIELD,1,8,0,361,0,0,0,19,0,0,149,0,72,2,70,13,2,184,6,28,722,0,1027
JEFFERSON4 GRANT,2,5,0,178,1,0,0,10,0,1,88,0,45,4,31,5,1,53,0,7,414,0,515
JEFFERSON5 HAMER,0,5,0,90,0,0,0,7,0,0,38,1,13,0,13,3,0,25,0,2,177,0,220
JEFFERSON6 LABELLE,1,4,0,185,0,0,0,11,0,1,66,0,73,0,30,6,1,58,2,12,426,0,535
JEFFERSON7 LEWISVILLE,1,3,0,137,0,0,0,11,0,1,80,0,45,2,38,2,0,52,2,10,393,0,499
JEFFERSON8 LORENZO,0,1,0,85,0,0,0,5,0,2,35,0,24,3,20,1,1,42,1,1,156,0,225
JEFFERSON9 MENAN,3,2,1,186,0,0,0,12,0,0,88,1,52,3,66,3,1,66,3,12,448,0,602
JEROME1 BISHOP-COURT,1,1,2,81,0,0,0,14,0,2,26,0,44,3,97,5,1,31,2,20,286,0,445
JEROME10 SOUTHWEST,1,1,0,118,0,0,0,12,0,0,17,0,71,1,116,3,1,31,4,16,403,0,575
JEROME2 CANYONSIDE,0,2,1,301,0,0,0,35,0,0,37,1,157,1,141,11,0,50,4,24,733,0,964
JEROME3 EDEN,2,4,3,71,0,0,1,19,0,0,13,1,47,1,50,5,1,22,0,11,242,0,332
JEROME4 FALLS CITY,1,0,0,96,0,0,0,16,1,0,12,0,51,2,44,3,2,17,2,10,255,0,335
JEROME5 HAZELTON,0,4,0,135,1,0,0,16,0,0,21,0,85,1,68,3,2,27,4,14,408,0,527
JEROME6 NORTHEAST,3,4,1,115,0,0,0,23,0,0,31,0,61,3,179,3,1,72,5,38,444,0,745
JEROME7 NORTHWEST,2,3,1,88,0,0,1,1,0,0,12,0,52,1,92,3,1,32,3,14,272,0,418
JEROME8 SHEPHERD-VIEW,0,1,0,91,1,0,0,20,0,0,23,0,63,6,105,5,2,38,10,24,360,0,550
JEROME9 SOUTHEAST,0,1,0,24,1,0,1,13,0,1,8,0,44,1,74,3,1,10,8,14,191,0,302
KOOTENAI1,0,2,0,166,0,0,0,18,0,2,18,0,107,10,130,9,2,23,6,24,665,0,869
KOOTENAI10,0,2,0,77,1,0,0,6,0,1,10,1,32,1,41,3,0,5,3,9,263,0,325
KOOTENAI11,3,2,0,144,0,0,0,19,0,1,11,0,75,5,118,11,0,11,6,34,498,0,683
KOOTENAI12,1,4,0,124,0,0,0,9,0,3,8,1,64,0,68,3,1,7,2,14,366,0,461
KOOTENAI13,0,0,0,111,0,0,0,17,0,0,16,0,49,2,48,2,0,14,3,14,237,0,320
KOOTENAI14,0,2,0,164,0,0,0,11,1,0,10,0,89,2,110,2,1,18,2,28,504,0,667
KOOTENAI15,1,8,0,220,1,0,0,22,0,2,28,0,136,1,177,5,3,22,9,36,609,0,862
KOOTENAI16,1,1,0,220,0,0,0,56,0,3,61,0,156,1,170,3,1,32,9,29,638,0,883
KOOTENAI17,1,4,1,158,1,0,0,13,0,0,22,0,64,2,123,2,2,15,4,31,396,0,575
KOOTENAI18,0,3,0,249,0,0,1,30,0,0,27,0,98,3,149,9,1,29,17,33,761,0,1002
KOOTENAI19,2,1,0,161,0,0,0,24,0,0,23,0,96,3,158,1,3,20,9,25,470,0,689
KOOTENAI2,1,8,1,266,2,0,0,16,0,1,17,0,126,0,78,5,0,22,7,19,732,0,863
KOOTENAI20,0,4,1,214,0,0,1,43,0,0,34,0,154,2,163,2,0,20,15,38,611,0,851
KOOTENAI21,1,3,0,135,0,0,1,34,0,0,27,0,75,1,120,2,1,10,8,26,379,0,547
KOOTENAI22,0,2,0,205,2,1,0,61,0,1,33,0,113,2,152,2,2,16,8,21,491,0,694
KOOTENAI23,0,5,0,142,0,0,0,5,0,0,7,0,77,7,125,0,0,17,7,48,516,0,720
KOOTENAI24,0,2,1,101,0,0,0,6,0,0,14,0,50,2,122,3,1,13,2,28,379,0,550
KOOTENAI25,0,2,0,220,0,0,0,15,0,0,18,0,84,2,201,6,5,20,10,35,647,0,926
KOOTENAI26,0,0,0,123,0,0,0,3,0,1,6,0,46,4,111,3,1,9,9,32,327,0,496
KOOTENAI27,0,3,0,115,0,0,0,7,0,0,5,0,40,1,68,2,2,14,4,22,295,0,408
KOOTENAI28,0,7,0,356,1,0,1,28,0,1,28,0,152,7,238,9,4,46,15,80,1100,0,1499
KOOTENAI29,3,5,1,84,0,0,0,4,0,1,5,0,48,1,116,1,1,8,11,31,355,0,524
KOOTENAI3,0,7,0,255,0,0,1,12,0,1,16,1,147,4,130,14,1,20,7,21,759,0,956
KOOTENAI30,0,3,0,194,0,1,0,15,0,3,17,0,77,1,146,7,0,17,6,44,563,0,784
KOOTENAI31,0,0,0,46,0,0,1,0,0,1,6,0,27,2,43,3,0,4,6,8,150,0,216
KOOTENAI32,0,7,0,130,0,0,1,18,0,0,14,0,44,4,164,3,5,17,11,33,447,0,684
KOOTENAI33,1,2,1,100,0,0,2,15,0,0,13,0,47,1,81,3,0,8,5,18,261,0,377
KOOTENAI34,0,3,1,226,0,0,0,30,0,2,34,0,103,1,142,5,1,21,8,39,555,0,772
KOOTENAI35,0,1,0,103,0,0,0,9,0,2,12,1,51,0,93,4,0,11,5,15,294,0,422
KOOTENAI36,0,1,1,101,0,0,0,14,0,1,16,0,73,3,62,0,0,10,8,16,290,0,389
KOOTENAI37,0,5,0,206,0,0,0,28,0,1,16,0,95,4,148,8,1,26,2,36,582,0,807
KOOTENAI38,0,3,0,165,0,0,0,17,0,0,15,0,64,4,206,4,1,44,8,26,462,0,755
KOOTENAI39,2,2,0,285,0,0,1,20,0,1,28,0,102,2,249,9,1,45,14,64,786,0,1170
KOOTENAI4,1,3,1,140,0,0,0,19,0,1,18,0,91,1,138,1,0,6,8,14,468,0,636
KOOTENAI40,1,2,0,198,0,0,0,15,0,0,24,0,63,2,210,1,0,28,12,45,526,0,824
KOOTENAI41,0,6,0,187,0,0,0,25,0,0,26,0,81,6,128,2,1,19,2,24,516,0,698
KOOTENAI42,0,3,0,148,0,0,3,17,0,2,14,0,60,2,191,5,2,28,12,18,389,0,647
KOOTENAI43,0,3,0,112,1,0,0,17,0,0,17,0,61,1,150,7,1,7,9,17,426,0,618
KOOTENAI44,1,3,0,155,0,0,1,35,0,2,25,0,85,0,227,3,0,17,10,35,422,0,714
KOOTENAI45,0,1,0,145,0,0,0,16,0,1,24,0,75,2,186,7,0,20,7,36,410,0,668
KOOTENAI46,0,1,0,185,1,0,0,23,0,0,30,2,119,2,167,1,0,24,4,38,461,0,697
KOOTENAI47,1,8,0,248,0,0,0,32,0,0,37,0,88,2,211,8,1,16,7,36,571,0,852
KOOTENAI48,1,2,0,60,0,0,0,9,0,2,6,0,39,2,99,3,0,4,11,24,236,0,379
KOOTENAI49,0,2,1,92,0,0,0,18,1,2,14,0,30,1,125,2,2,7,9,30,312,0,488
KOOTENAI5,0,3,0,251,0,0,0,38,0,3,38,1,141,3,183,4,1,34,12,37,755,0,1029
KOOTENAI50,1,2,0,95,0,0,0,17,1,0,12,0,29,0,110,7,0,17,7,9,231,0,381
KOOTENAI51,1,0,0,73,0,0,0,5,1,2,11,0,48,2,160,1,1,7,8,33,318,0,530
KOOTENAI52,4,3,0,86,0,0,0,11,0,0,8,0,37,1,108,2,0,15,7,24,266,0,423
KOOTENAI53,0,1,0,92,0,0,0,10,0,0,10,0,54,2,165,9,0,12,13,39,300,0,540
KOOTENAI54,0,6,1,59,1,0,0,7,0,2,13,0,29,3,184,2,1,8,9,39,193,0,439
KOOTENAI55,0,1,0,44,0,0,0,8,0,0,13,1,29,6,149,1,0,4,20,24,164,0,368
KOOTENAI56,0,0,0,57,0,0,0,7,0,1,5,0,30,1,154,2,2,7,9,32,150,0,357
KOOTENAI57,0,1,0,76,0,0,0,14,0,1,5,2,49,1,157,3,0,13,9,30,240,0,453
KOOTENAI58,2,0,0,76,0,0,0,24,0,0,23,0,38,3,231,0,1,20,14,38,196,0,503
KOOTENAI59,1,1,0,28,0,0,0,6,0,1,7,0,33,1,132,2,1,5,12,18,145,0,316
KOOTENAI6,0,6,0,352,1,0,0,39,0,4,19,0,161,3,136,4,0,31,5,42,936,0,1157
KOOTENAI60,0,0,0,52,0,0,1,4,0,1,7,0,31,1,131,1,3,8,3,24,133,0,304
KOOTENAI61,0,3,0,232,0,0,1,39,0,1,32,0,118,1,166,10,1,25,7,35,549,0,794
KOOTENAI62,0,2,2,81,0,0,0,20,0,0,9,0,29,2,94,3,0,10,2,22,184,0,317
KOOTENAI63,0,6,0,244,0,0,2,16,0,3,27,0,79,3,96,3,1,19,5,19,582,0,728
KOOTENAI64,0,1,0,105,0,0,0,13,0,2,18,0,64,1,52,2,0,4,7,14,309,0,389
KOOTENAI65,0,2,0,163,0,0,1,23,0,2,26,0,81,2,105,6,0,8,1,21,378,0,521
KOOTENAI66,3,2,0,171,0,0,0,27,0,1,22,0,89,3,119,2,0,21,8,24,399,0,576
KOOTENAI67,0,0,0,89,0,0,0,12,0,0,10,0,45,4,61,0,1,4,3,6,187,0,266
KOOTENAI68,0,5,0,137,0,0,1,15,0,1,18,0,70,2,114,6,2,6,7,10,391,0,538
KOOTENAI69,0,4,0,98,0,0,0,13,0,1,10,0,55,0,159,0,0,7,7,21,333,0,527
KOOTENAI7,2,9,0,303,0,0,0,25,0,3,31,0,102,5,192,8,2,24,13,47,791,0,1082
KOOTENAI70,1,3,0,96,0,0,0,12,0,1,6,0,44,2,68,2,0,8,4,15,289,0,388
KOOTENAI8,1,1,0,341,0,0,0,23,0,1,38,0,140,5,211,3,2,35,9,40,1009,0,1314
KOOTENAI9,2,5,1,284,1,0,0,45,0,3,29,0,143,6,222,10,1,20,14,43,963,0,1279
LATAHBOVILL 32,0,0,0,17,0,0,0,3,0,0,0,0,13,2,29,2,0,1,1,6,54,0,95
LATAHCORA 31,0,2,0,45,1,0,0,4,0,0,3,0,21,1,30,4,0,3,0,6,131,0,175
LATAHDEARY 19,0,8,0,99,0,0,0,12,0,0,16,0,69,6,104,1,2,7,4,27,430,0,581
LATAHFARMINGTON 20,0,0,0,1,0,0,0,0,0,0,2,0,8,0,2,0,0,0,0,1,25,0,28
LATAHGENESEE 21,2,5,0,76,0,0,1,30,0,1,24,0,48,3,138,2,1,17,22,28,383,0,594
LATAHHARVARD 22,0,3,0,41,0,0,0,4,0,0,5,0,35,0,17,0,1,1,2,4,141,0,166
LATAHJULIAETTA 23,1,0,0,26,0,0,0,4,0,0,7,0,25,1,63,2,2,3,3,15,190,0,279
LATAHKENDRICK 24,0,2,0,25,0,0,0,2,0,0,10,0,31,0,59,5,0,5,2,10,166,0,247
LATAHLINDEN 25,2,1,1,12,0,0,0,1,0,1,7,0,13,0,4,0,1,3,1,1,58,0,68
LATAHMOSCOW 1,0,1,0,20,0,0,0,5,0,0,11,0,7,0,83,0,0,11,4,22,101,0,221
LATAHMOSCOW 10,0,4,0,80,1,0,0,11,0,1,8,0,23,6,216,14,2,36,15,35,157,0,481
LATAHMOSCOW 11,0,3,0,78,0,0,2,6,0,0,12,0,15,3,219,28,1,25,14,31,101,0,422
LATAHMOSCOW 12,1,3,0,97,0,0,1,12,0,0,21,0,27,3,171,15,3,32,14,46,219,0,503
LATAHMOSCOW 13,1,2,0,46,0,0,0,9,0,0,13,0,19,4,171,2,1,24,7,25,83,0,317
LATAHMOSCOW 14,0,5,0,82,0,0,1,11,0,0,6,0,16,3,248,21,2,29,20,41,100,0,464
LATAHMOSCOW 15,2,0,1,58,0,0,0,7,0,0,9,1,10,1,214,13,1,30,13,36,101,0,409
LATAHMOSCOW 16,0,1,0,62,0,0,0,11,0,0,19,0,13,2,306,20,2,33,26,73,166,0,628
LATAHMOSCOW 17,0,1,0,81,0,0,0,14,0,0,21,0,34,6,195,13,0,22,7,27,193,0,463
LATAHMOSCOW 18,0,0,0,37,0,0,0,8,0,0,13,0,8,2,284,3,2,14,31,58,135,0,529
LATAHMOSCOW 2,0,4,0,98,0,0,0,9,0,0,17,0,13,0,312,14,1,27,23,64,214,0,655
LATAHMOSCOW 3,0,7,1,86,0,0,0,9,0,1,13,0,30,2,182,26,1,30,15,42,226,0,524
LATAHMOSCOW 4,0,4,0,95,0,0,0,23,0,0,17,0,25,2,165,18,0,33,11,23,185,0,437
LATAHMOSCOW 5,0,4,0,80,0,0,0,13,0,0,15,0,29,3,189,11,1,34,9,29,170,0,446
LATAHMOSCOW 6,0,2,0,77,0,0,0,8,0,0,8,0,13,1,248,13,1,23,23,42,117,0,468
LATAHMOSCOW 7,0,4,0,80,0,0,0,9,0,1,12,0,22,1,157,3,1,29,20,40,203,0,454
LATAHMOSCOW 8,0,0,0,16,0,0,0,5,0,0,24,0,12,1,463,4,5,15,24,86,229,0,827
LATAHMOSCOW 9,0,1,0,90,0,0,3,15,0,0,22,0,16,0,229,13,0,31,14,22,151,0,460
LATAHPALOUSE 26,1,1,1,41,0,0,0,6,0,1,4,0,30,0,39,3,1,7,4,7,133,0,194
LATAHPOTLATCH 27,3,7,0,108,0,0,1,7,0,2,15,0,81,1,120,7,2,5,10,16,399,0,560
LATAHPRINCETON 28,0,4,2,100,0,0,1,8,0,1,14,0,47,1,57,2,0,4,2,18,253,0,337
LATAHTROY 29,0,6,1,132,1,0,0,35,0,2,21,0,77,1,254,12,3,22,15,56,472,0,835
LATAHVIOLA 30,0,0,0,51,0,0,0,11,0,0,4,0,24,0,57,1,0,5,3,17,149,0,232
LEMHI001 - SALMON,4,16,0,139,0,0,4,38,0,2,54,1,176,3,106,3,2,25,9,28,513,0,689
LEMHI002 - DEPOT,0,4,1,140,0,0,3,30,0,5,74,1,109,4,66,2,2,23,4,16,449,0,566
LEMHI003 - BROOKLYN,3,13,2,164,1,0,2,66,0,3,83,0,189,1,132,4,2,30,6,30,601,0,806
LEMHI004 - NORTH FORK,0,0,0,32,0,0,0,19,0,0,20,0,39,0,31,0,0,2,2,5,132,0,172
LEMHI005 - MINERAL HILL,0,1,0,1,0,0,0,4,0,0,4,0,18,0,9,0,0,3,0,2,32,0,46
LEMHI006 - IRON CREEK,0,0,0,14,0,0,0,6,0,0,3,0,42,0,12,1,0,2,0,2,99,0,116
LEMHI007 - PAHSIMEROI,0,3,0,3,0,1,0,1,0,0,7,0,22,0,7,0,0,3,0,4,48,0,62
LEMHI008 - LEMHI,0,0,0,32,0,0,0,10,0,0,25,0,36,1,14,1,0,4,0,2,156,0,178
LEMHI009 - JUNCTION,0,0,0,37,0,0,0,7,0,1,26,0,34,0,9,0,0,4,1,2,128,0,144
LEMHIABSENTEE,1,14,2,35,1,0,0,17,0,1,39,0,92,7,347,8,3,43,9,47,853,0,1317
LEWIS001 NEZPERCE,0,2,0,47,0,0,2,9,0,2,25,0,44,3,82,8,0,9,4,14,227,0,347
LEWIS002 WEST KAMIAH,2,8,0,81,0,0,3,7,0,1,16,0,101,2,57,1,1,1,3,14,352,0,431
LEWIS003 EAST KAMIAH,0,1,0,26,0,0,0,4,0,0,7,0,24,0,23,2,0,0,3,3,113,0,144
LEWIS004 CRAIGMONT,1,2,1,48,1,0,1,13,0,0,9,0,51,0,49,6,0,3,1,10,253,0,322
LEWIS005 WINCHESTER,1,3,0,56,0,0,1,12,0,0,10,0,52,1,43,0,1,1,2,10,211,0,269
LEWIS006 REUBENS,1,0,0,3,0,0,0,0,0,0,0,1,8,0,7,0,0,0,0,6,22,0,35
LEWIS007 MOHLER,0,1,1,2,0,0,0,3,0,0,8,0,3,0,7,1,0,3,0,4,20,0,35
LEWIS008 SLICKPOO,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,4,0,7
